female,yeduc,lincome
1,11,5.298317
1,11,5.164786
1,11,5.616771
0,12,5.521461
0,12,5.298317
0,12,4.60517
0,12,5.010635
0,12,5.298317
0,12,4.60517
0,12,5.010635
0,12,5.521461
0,12,5.521461
0,12,5.521461
0,12,4.60517
0,12,4.60517
0,12,4.60517
0,12,4.60517
0,12,4.60517
0,12,5.010635
0,12,5.010635
0,12,5.521461
0,12,4.60517
0,12,5.298317
0,12,5.010635
0,12,5.298317
0,12,5.298317
0,12,2.525729
0,12,5.329089
0,12,5.051457
0,12,5.546154
0,12,4.665795
0,12,4.665795
0,12,4.665795
0,12,4.029806
0,12,5.329089
0,12,5.329089
0,12,4.665795
0,12,4.665795
0,12,5.051457
0,12,5.164786
0,12,5.164786
0,12,5.164786
0,12,4.317488
0,12,5.416101
0,12,5.164786
0,12,5.164786
0,12,5.416101
0,12,5.298317
0,12,5.703783
0,12,4.60517
0,12,5.521461
0,12,5.991465
0,12,5.010635
0,12,5.521461
0,12,4.60517
0,12,5.010635
0,12,5.298317
0,12,5.991465
0,12,5.521461
0,12,5.298317
0,12,4.60517
0,12,5.521461
0,12,5.010635
0,12,5.703783
0,12,5.298317
0,12,5.703783
0,12,5.521461
0,12,5.298317
0,12,5.298317
0,12,5.521461
0,12,5.521461
0,12,5.703783
0,12,5.991465
0,12,3.912023
0,12,5.703783
0,12,5.991465
0,12,5.521461
0,12,5.521461
0,12,5.521461
0,12,3.912023
0,12,5.010635
0,12,6.309918
0,12,5.521461
0,12,5.521461
0,12,5.010635
0,12,4.60517
0,12,5.703783
0,12,5.298317
0,12,5.010635
0,12,3.912023
0,12,5.991465
0,12,5.521461
0,12,5.010635
0,12,5.010635
0,12,5.010635
0,12,5.703783
0,12,5.857933
0,12,5.521461
0,12,5.703783
0,12,5.521461
0,12,5.703783
0,12,5.703783
0,12,5.857933
0,12,5.703783
0,12,6.109248
0,12,5.010635
0,12,5.857933
0,12,5.857933
0,12,5.703783
0,12,5.703783
0,12,6.109248
0,12,5.298317
0,12,5.521461
0,12,5.521461
0,12,5.521461
0,12,5.521461
0,12,5.703783
0,12,5.298317
0,12,5.298317
0,12,5.521461
0,12,5.521461
0,12,6.109248
0,12,5.298317
0,12,5.703783
0,12,5.703783
0,12,5.521461
0,12,5.703783
0,12,5.703783
0,12,5.703783
0,12,5.703783
0,12,5.521461
0,12,4.60517
0,12,5.703783
0,12,5.703783
0,12,5.521461
0,12,5.298317
0,12,5.857933
0,12,5.703783
0,12,5.521461
0,12,5.298317
0,12,5.521461
0,12,5.703783
0,12,5.298317
0,12,5.857933
0,12,5.521461
0,12,5.010635
0,12,5.298317
0,12,5.010635
0,12,6.109248
0,12,5.521461
0,12,6.109248
0,12,5.521461
0,12,5.703783
0,12,5.521461
0,12,5.010635
0,12,4.60517
0,12,5.521461
0,12,5.521461
0,12,5.703783
0,12,5.703783
0,12,5.521461
0,12,5.857933
0,12,5.703783
0,12,4.60517
0,12,5.857933
0,12,5.521461
0,12,5.298317
0,12,5.521461
0,12,5.703783
0,12,5.521461
0,12,5.521461
0,12,5.298317
0,12,5.521461
0,12,5.298317
0,12,5.521461
0,12,5.298317
0,12,5.010635
0,12,5.521461
0,12,5.703783
0,12,5.857933
0,12,5.010635
0,12,5.298317
0,12,5.703783
0,12,6.109248
0,12,5.298317
0,12,5.857933
0,12,5.703783
0,12,5.857933
0,12,5.857933
0,12,5.703783
0,12,5.857933
0,12,6.109248
0,12,5.703783
0,12,5.521461
0,12,5.298317
0,12,5.010635
0,12,5.521461
0,12,4.60517
0,12,4.60517
0,12,5.703783
0,12,5.521461
0,12,5.703783
0,12,5.521461
0,12,5.703783
0,12,5.703783
0,12,5.857933
0,12,5.521461
0,12,5.703783
0,12,6.214608
0,12,5.051457
0,12,5.298317
0,12,5.298317
0,12,5.051457
0,12,5.521461
0,12,5.051457
0,12,5.521461
0,12,5.857933
0,12,5.991465
0,12,5.991465
0,12,5.703783
0,12,5.521461
0,12,5.164786
0,12,5.991465
0,12,5.857933
0,12,5.991465
0,12,5.703783
0,12,5.857933
0,12,6.214608
0,12,5.010635
0,12,5.051457
0,12,5.703783
0,12,5.857933
0,12,6.214608
0,12,5.703783
0,12,5.991465
0,12,5.703783
0,12,5.991465
0,12,5.991465
0,12,5.051457
0,12,5.703783
0,12,5.298317
0,12,5.703783
0,12,5.703783
0,12,5.857933
0,12,5.703783
0,12,5.857933
0,12,5.857933
0,12,5.703783
0,12,5.703783
0,12,5.298317
0,12,6.214608
0,12,5.857933
0,12,5.991465
0,12,5.521461
